MisconceptionId,MisconceptionName,ConstructName,SubjectName,AnswerBText,AnswerAText,QuestionText,MisconceptionB
1728,"When solving a pair of simultaneous equations, thinks they need to make the coefficients of both variables the same",Solving Systems of Linear Equations,Algebra,"\( x = 2 \), \( y = 2 \)","\( x = 2 \), \( y = 4 \)",Solve the system of equations: ,"When solving a pair of simultaneous equations, thinks they need to make the coefficients of both variables the same."
1729,"When solving simultaneous equations, finds the correct numbers to transform the equations, but uses them the wrong way around.",Solving Systems of Linear Equations,Algebra,"\( x = 3, y = 2 \)","\( x = 2, y = 3 \)",Solve the system of equations:,"When solving simultaneous equations, finds the correct numbers to transform the equations, but uses them the wrong way around."
1732,Thinks a factor tree splits a number into a pair of numbers that sum to the given number.,Prime Factorization,Number Theory,\(24 + 24\),\(2^4 \times 3\),What is the prime factorization of 48?,Thinks a factor tree splits a number into a pair of numbers that sum to the given number.
1736,Believes clock times can be written with a decimal point rather than a colon,Time Addition and Notation,Time and Clocks,6.00 PM,6:00 PM,What is the time 3 hours and 45 minutes after 2:15 PM?,Believes clock times can be written with a decimal point rather than a colon.
1739,Does not understand changing decimals to fractions,Converting decimals to fractions. CorrectAnswer: A.,Fractions and Decimals,75/100,3/4,Convert the decimal 0.75 to a fraction in its simplest form.,Does not understand changing decimals to fractions
1742,Adds or subtracts the degree of accuracy from the original number,Rounding numbers to a specific decimal place. CorrectAnswer: A.,Arithmetic,123.5,123.46,"If the number 123.456 is rounded to the nearest hundredth, what is the result?",Adds or subtracts the degree of accuracy from the original number.
1745,Believes a quadratic graph can be a straight line,Quadratic Functions and Their Graphs. CorrectAnswer: A. ,Algebra,Straight line,Parabola,What is the shape of the graph of the quadratic equation \( y = x^2 - 4x + 4 \)?,Believes a quadratic graph can be a straight line
1747,"When using the capture-recapture method of sampling, believes you multiply the number caught second by the number marked second to get the best estimate of population size",Capture-Recapture Method,Statistics and Probability,4500,500,"In a wildlife study, 100 animals were captured and marked in the first round. In the second round, 150 animals were captured, and 30 of them were found to be marked. Using the capture-recapture method, what is the best estimate of the total population size?","When using the capture-recapture method of sampling, believes you multiply the number caught second by the number marked second to get the best estimate of population size."
1750,"Adds ""100"" to end of written value rather than multiplying by 100",Multiplication by powers of ten. CorrectAnswer: A. ,Arithmetic,5.2100,520,"If you have the number 5.2 and you want to multiply it by 100, what is the result?","Adds ""100"" to end of written value rather than multiplying by 100"
1753,Believes a direct proportion graph can have a negative gradient,Direct Proportionality and Graphs,Algebra,The variables \( x \) and \( y \) are directly proportional.,The variables \( x \) and \( y \) are not directly proportional.,"If two variables, \( x \) and \( y \), are directly proportional, and the graph of \( y \) versus \( x \) has a negative gradient, what can be concluded about the relationship between \( x \) and \( y \)?",Believes a direct proportion graph can have a negative gradient.
1754,Thinks two-tailed inequalities can have a constant in the middle,Solving compound inequalities.,Algebra,\(-2 < x < 4\),\(-2 < x < \frac{4}{3}\),Solve the inequality \( -2 < 3x + 4 < 8 \).,Thinks two-tailed inequalities can have a constant in the middle.
1758,Can not recognise all factor pairs of numbers,Factor Pairs of Numbers,Number Theory,"(1, 48), (2, 24), (3, 16), (4, 12)","(1, 48), (2, 24), (3, 16), (4, 12), (6, 8)",What are all the factor pairs of the number 48?,Can not recognise all factor pairs of numbers
1762,"Thinks that when drawing the plan view, the top layer of the shape needs to be drawn in the row above ",Plan view of 3D shapes. CorrectAnswer: A.,Geometry.,A rectangle.,A square.,"If you have a 3D shape with a top layer that is a square and a bottom layer that is a rectangle, what would the plan view of this shape look like?","Thinks that when drawing the plan view, the top layer of the shape needs to be drawn in the row above."
1765,"Does not understand how to answer generalised statements (eg. by testing values to check for always, sometimes, never)",Understanding and testing generalised statements.,Algebra.,Always true.,Sometimes true.,"Determine whether the statement ""For all real numbers \( x \), \( x^2 \geq x \)"" is always true, sometimes true, or never true.","Does not understand how to answer generalised statements (e.g., by testing values to check for always, sometimes, never)."
1768,Believes the y-intercept of a line is the solution to its equation,Understanding the concept of solutions to linear equations. CorrectAnswer: A. ,Algebra,The solution is \( y = 3 \).,"The solution is any point \((x, y)\) that satisfies the equation, such as \((0, 3)\).",What is the solution to the equation \( y = 2x + 3 \)?,Believes the y-intercept of a line is the solution to its equation.
1770,Believes the proportion for a pie chart sector is 1 divided by the number of degrees,Proportions in Pie Charts. CorrectAnswer: A. ,Geometry,1/90,1/4,"If a pie chart has a sector with an angle of 90 degrees, what proportion of the total pie chart does this sector represent?",Believes the proportion for a pie chart sector is 1 divided by the number of degrees.
1772,Believes a reciprocal graph comes from a cubic equation,Asymptotes and Reciprocal Functions,Algebra,\( y = x^3 \),\( y = \frac{1}{x} \),What is the equation of a graph that has a vertical asymptote at \( x = 0 \) and a horizontal asymptote at \( y = 0 \)?,Believes a reciprocal graph comes from a cubic equation.
1774,"When multiplying a surd by an integer to write as one surd, squares the number under the surd rather than the number in front",Simplifying surds and multiplication of surds. CorrectAnswer: A. ,Algebra.,\( 3 \sqrt{32} \).,\( 24 \sqrt{2} \).,Simplify the expression \( 3 \sqrt{2} \times 4 \sqrt{2} \).,"When multiplying a surd by an integer to write as one surd, squares the number under the surd rather than the number in front."
1777,Confuses the graph of 1/x with 1/x² when both are shown,Understanding the behavior of rational functions. CorrectAnswer: A. ,Graphing and Analysis of Functions.,"The graph that approaches the x-axis as \( x \) increases or decreases without bound, has a vertical asymptote at \( x = 0 \), and crosses the x-axis at \( x = 1 \).",The graph that approaches the x-axis as \( x \) increases or decreases without bound and has a vertical asymptote at \( x = 0 \).,Which of the following graphs represents the function \( f(x) = \frac{1}{x^2} \)?,Confuses the graph of \( \frac{1}{x} \) with \( \frac{1}{x^2} \) when both are shown.
1778,Believes you subtract the number marked second from the estimated population to find the number marked first when using the capture-recapture method,Capture-Recapture Method,Statistics and Probability,30,250,"A wildlife researcher uses the capture-recapture method to estimate the population of a species in a forest. Initially, 50 animals are captured and marked. Later, 100 animals are captured, and 20 of them are found to be marked. What is the estimated total population of the species in the forest?",Believes you subtract the number marked second from the estimated population to find the number marked first when using the capture-recapture method.
1780,Thinks all dimensions given must be used when calculating the area,Area of a rectangle,Geometry,20 square meters,96 square meters,"A rectangular garden has a length of 12 meters and a width of 8 meters. If you want to find the area of the garden, what is the correct calculation?",Thinks all dimensions given must be used when calculating the area.
