QuestionId,MisconceptionId,CorrectAnswer,MisconceptionName,ConstructName,SubjectName,AnswerBText,AnswerAText,QuestionText,MisconceptionB
2521,1739,A,Does not understand changing decimals to fractions,Converting decimals to fractions. ,Fractions and Decimals,75/100,3月4日,Convert the decimal 0.75 to a fraction in its simplest form.,Does not understand changing decimals to fractions
2522,1742,A,Adds or subtracts the degree of accuracy from the original number,Rounding numbers to a specific decimal place. ,Arithmetic,123.5,123.46,"If the number 123.456 is rounded to the nearest hundredth, what is the result?",Adds or subtracts the degree of accuracy from the original number.
2523,1745,A,Believes a quadratic graph can be a straight line,Quadratic Functions and Their Graphs.  ,Algebra,Straight line,Parabola,What is the shape of the graph of the quadratic equation \( y = x^2 - 4x + 4 \)?,Believes a quadratic graph can be a straight line
2524,1747,A,"When using the capture-recapture method of sampling, believes you multiply the number caught second by the number marked second to get the best estimate of population size",Capture-Recapture Method,Statistics and Probability,4500,500,"In a wildlife study, 100 animals were captured and marked in the first round. In the second round, 150 animals were captured, and 30 of them were found to be marked. Using the capture-recapture method, what is the best estimate of the total population size?","When using the capture-recapture method of sampling, believes you multiply the number caught second by the number marked second to get the best estimate of population size."
2525,1750,A,"Adds ""100"" to end of written value rather than multiplying by 100",Multiplication by powers of ten.  ,Arithmetic,5.21,520,"If you have the number 5.2 and you want to multiply it by 100, what is the result?","Adds ""100"" to end of written value rather than multiplying by 100"
2526,1753,A,Believes a direct proportion graph can have a negative gradient,Direct Proportionality and Graphs,Algebra,The variables \( x \) and \( y \) are directly proportional.,The variables \( x \) and \( y \) are not directly proportional.,"If two variables, \( x \) and \( y \), are directly proportional, and the graph of \( y \) versus \( x \) has a negative gradient, what can be concluded about the relationship between \( x \) and \( y \)?",Believes a direct proportion graph can have a negative gradient.
2527,1754,A,Thinks two-tailed inequalities can have a constant in the middle,Solving compound inequalities.,Algebra,\(-2 < x < 4\),\(-2 < x < \frac{4}{3}\),Solve the inequality \( -2 < 3x + 4 < 8 \).,Thinks two-tailed inequalities can have a constant in the middle.
2528,1758,A,Can not recognise all factor pairs of numbers,Factor Pairs of Numbers,Number Theory,"(1, 48), (2, 24), (3, 16), (4, 12)","(1, 48), (2, 24), (3, 16), (4, 12), (6, 8)",What are all the factor pairs of the number 48?,Can not recognise all factor pairs of numbers
2529,1762,A,"Thinks that when drawing the plan view, the top layer of the shape needs to be drawn in the row above ",Plan view of 3D shapes. ,Geometry.,A rectangle.,A square.,"If you have a 3D shape with a top layer that is a square and a bottom layer that is a rectangle, what would the plan view of this shape look like?","Thinks that when drawing the plan view, the top layer of the shape needs to be drawn in the row above."
2530,1765,A,"Does not understand how to answer generalised statements (eg. by testing values to check for always, sometimes, never)",Understanding and testing generalised statements.,Algebra.,Always true.,Sometimes true.,"Determine whether the statement ""For all real numbers \( x \), \( x^2 \geq x \)"" is always true, sometimes true, or never true.","Does not understand how to answer generalised statements (e.g., by testing values to check for always, sometimes, never)."
2531,1768,A,Believes the y-intercept of a line is the solution to its equation,Understanding the concept of solutions to linear equations.  ,Algebra,The solution is \( y = 3 \).,"The solution is any point \((x, y)\) that satisfies the equation, such as \((0, 3)\).",What is the solution to the equation \( y = 2x + 3 \)?,Believes the y-intercept of a line is the solution to its equation.
2532,1770,A,Believes the proportion for a pie chart sector is 1 divided by the number of degrees,Proportions in Pie Charts.  ,Geometry,1/90,1月4日,"If a pie chart has a sector with an angle of 90 degrees, what proportion of the total pie chart does this sector represent?",Believes the proportion for a pie chart sector is 1 divided by the number of degrees.
2533,1772,A,Believes a reciprocal graph comes from a cubic equation,Asymptotes and Reciprocal Functions,Algebra,\( y = x^3 \),\( y = \frac{1}{x} \),What is the equation of a graph that has a vertical asymptote at \( x = 0 \) and a horizontal asymptote at \( y = 0 \)?,Believes a reciprocal graph comes from a cubic equation.
2534,1774,A,"When multiplying a surd by an integer to write as one surd, squares the number under the surd rather than the number in front",Simplifying surds and multiplication of surds.  ,Algebra.,\( 3 \sqrt{32} \).,\( 24 \sqrt{2} \).,Simplify the expression \( 3 \sqrt{2} \times 4 \sqrt{2} \).,"When multiplying a surd by an integer to write as one surd, squares the number under the surd rather than the number in front."
2535,1777,A,Confuses the graph of 1/x with 1/x虏 when both are shown,Understanding the behavior of rational functions.  ,Graphing and Analysis of Functions.,"The graph that approaches the x-axis as \( x \) increases or decreases without bound, has a vertical asymptote at \( x = 0 \), and crosses the x-axis at \( x = 1 \).",The graph that approaches the x-axis as \( x \) increases or decreases without bound and has a vertical asymptote at \( x = 0 \).,Which of the following graphs represents the function \( f(x) = \frac{1}{x^2} \)?,Confuses the graph of \( \frac{1}{x} \) with \( \frac{1}{x^2} \) when both are shown.
2536,1778,A,Believes you subtract the number marked second from the estimated population to find the number marked first when using the capture-recapture method,Capture-Recapture Method,Statistics and Probability,30,250,"A wildlife researcher uses the capture-recapture method to estimate the population of a species in a forest. Initially, 50 animals are captured and marked. Later, 100 animals are captured, and 20 of them are found to be marked. What is the estimated total population of the species in the forest?",Believes you subtract the number marked second from the estimated population to find the number marked first when using the capture-recapture method.
2537,1780,A,Thinks all dimensions given must be used when calculating the area,Area of a rectangle,Geometry,20 square meters,96 square meters,"A rectangular garden has a length of 12 meters and a width of 8 meters. If you want to find the area of the garden, what is the correct calculation?",Thinks all dimensions given must be used when calculating the area.
2538,1785,A,Added the base numbers,Sum of the first n terms of an arithmetic sequence. ,Arithmetic Sequences,25,55,What is the sum of the first 5 terms of the arithmetic sequence where the first term is 3 and the common difference is 4?,Added the base numbers (3 + 4 + 4 + 4 + 4)
2539,1789,A,Thinks the elevation is taken from an angle to include aspects of the other side,Angle sum property of a triangle. ,Geometry.,150 degrees.,60 degrees.,"In a right triangle, if one of the acute angles is 30 degrees, what is the measure of the other acute angle?",Thinks the elevation is taken from an angle to include aspects of the other side.
2540,1797,A,Assumes the range of a set of data starts at zero,Range of a set of data. ,Statistics,25,20,"What is the range of the set of data {5, 10, 15, 20, 25}?",Assumes the range of a set of data starts at zero
2541,1798,A,Believes 1 is a prime number,Definition of Prime Numbers. ,Number Theory,1,7,Which of the following numbers is a prime number?,Believes 1 is a prime number
2542,1799,A,"When converting fraction to ratio, thinks you just use the numerator and denominator as the numbers in the ratio ",Converting Fractions to Ratios. ,Ratios and Fractions,3:01,3:04,Convert the fraction \(\frac{3}{4}\) to a ratio.,"When converting fraction to ratio, thinks you just use the numerator and denominator as the numbers in the ratio."
