MisconceptionId,MisconceptionName,ConstructName,SubjectName,AnswerAText,AnswerBText,QuestionText,MisconceptionB
326,"When converting fractions to ratios, puts the other side of the ratio as the total of the numerator and denominator",Converting Fractions to Ratios Correctly,Ratio and Proportion,3:5,3:11,"If a recipe calls for 3/4 cup of sugar, what is the ratio of sugar used to the total ingredients if the total ingredients by volume are 2 cups?","When converting fractions to ratios, puts the other side of the ratio as the total of the numerator and denominator"
327,Mixes up total and part in ratio,Applying ratios to find proportional parts,Ratio and Proportion,6,15,"A recipe requires 3 parts flour to 2 parts sugar. If a baker uses 9 cups of flour, how many cups of sugar does she need?",Mixes up total and part in ratio
330,"When working with inverse and direct proportion, forgets to apply the root or index to find k, but remembers when doing the second calculation",Direct Proportion with Powers,Algebra,8,16,"If \( y \) varies directly as the square of \( x \), and \( y = 32 \) when \( x = 4 \), what is the value of \( y \) when \( x = 2 \)?","When working with inverse and direct proportion, forgets to apply the root or index to find k, but remembers when doing the second calculation."
335,Believes 30% is equivalent to 1/3,Understanding the relationship between percentages and fractions,Percentages and Fractions,7/10,2/3,"If a shirt originally costs $60 and is on sale for 30% off, what fraction of the original price do you pay after the discount?",Believes 30% is equivalent to 1/3
336,Does not understand that having values after the decimal point makes a number larger than a number with the same units but no decimal places,Understanding the Value of Decimal Places,Decimal Numbers Comparison,3.5,3,"Which number is larger, 3.5 or 3?",Does not understand that having values after the decimal point makes a number larger than a number with the same units but no decimal places
341,Believes the second term in a 2 term quadratic equation is always a coefficient and the variable,Factoring Quadratic Expressions,Algebra,\( (x + 3)(x + 2) \),\( x^2 + 11x \),What is the factored form of the quadratic expression \( x^2 + 5x + 6 \)?,Believes the second term in a 2 term quadratic equation is always a coefficient and the variable
342,Uses the whole base rather than half the base when forming a right angled triangle from an isosceles triangle,Pythagorean Theorem in Right Triangles Derived from Isosceles Triangles,Geometry,8 cm,6 cm,"An isosceles triangle has a base of 12 cm and sides of 10 cm. If you draw a height from the apex to the base, creating two right triangles, what is the length of this height?",Uses the whole base rather than half the base when forming a right angled triangle from an isosceles triangle
343,Estimates the frequency shown on a pie chart rather than calculating,Understanding Frequency Representation in Pie Charts,Statistics and Probability,10,90,"In a pie chart representing the favorite fruits of students in a class, the sector for apples occupies 90 degrees of the circle. If there are 40 students in the class, how many students chose apples as their favorite fruit?",Estimates the frequency shown on a pie chart rather than calculating
348,Writes times in the afternoon as if 10 is midday on a 24 hour clock,Understanding Military Time vs. Standard Time Conversion,Time Conversion,22:00,10:00,What is the military time equivalent for 10 PM?,Writes times in the afternoon as if 10 is midday on a 24 hour clock
349,"When adding surds, just multiplies the numbers under the surd rather than first trying to simplifying to find like surds",Adding Surds by Finding Like Surds,Algebra - Surds and Radicals,\( 4\sqrt{3} \),\( \sqrt{30} \),Simplify the expression \( \sqrt{27} + \sqrt{3} \).,"When adding surds, just multiply the numbers under the surd rather than first trying to simplify to find like surds."
351,Thinks a chord does not have to start and end at the circumference of the circle.,Understanding of Chords in a Circle,Geometry,Line segments that start and end on the circumference of the circle.,The line segment that starts and ends outside the circle's circumference.,"In the figure below, which line segment(s) can be considered as chords within the circle?",Thinks a chord does not have to start and end at the circumference of the circle.
353,Does not recognise when one part of a fraction is the negative of the other,Understanding reciprocal relationships in fractions involving negatives,Algebra,\( -\frac{4}{3} \),\( \frac{4}{3} \),"If \( \frac{a}{b} = -\frac{3}{4} \), what is the value of \( \frac{b}{a} \)?",Does not recognise when one part of a fraction is the negative of the other
354,Believes class width represents frequency in a histogram,Understanding the representation of data in histograms.,Statistics.,The range of scores that each bar represents.,The number of students who received each score.,"In a histogram displaying the distribution of exam scores for a class, if the class width of each bar is 10 points, what does this tell us about the data?",Believes class width represents frequency in a histogram.
355,Thinks the interior angle of a regular polygon is 10n,Interior angles of regular polygons,Geometry,144 degrees,100 degrees,What is the measure of one interior angle of a regular decagon (10-sided polygon)?,Thinks the interior angle of a regular polygon is 10n
356,Finds the sum of the missing angles but not the angle being asked,Sum of Angles in a Triangle,Geometry,70 degrees,110 degrees,"In a triangle, the measures of two angles are given as 50 degrees and 60 degrees. What is the measure of the third angle?",Finds the sum of the missing angles but not the angle being asked
358,Believes digits of a number are read/written from right to left,Place Value Understanding,Number Sense,20,2,What is the value of the digit '2' in the number 325?,Believes digits of a number are read/written from right to left
